,Path,Flight ID,PNR ID,Class
0,0.0,INV-ZZ-6580254,BRZA84,PC
1,0.0,INV-ZZ-6580254,CQRH39,PC
2,0.0,INV-ZZ-6580254,DUTR29,PC
3,0.0,INV-ZZ-6580254,EQSL99,BC
4,0.0,INV-ZZ-6580254,EWPW67,BC
5,0.0,INV-ZZ-6580254,FQGN23,EC
6,0.0,INV-ZZ-6580254,FVUQ65,EC
7,0.0,INV-ZZ-6580254,HXSK99,PC
8,0.0,INV-ZZ-6580254,KBHY97,FC
9,0.0,INV-ZZ-6580254,KNXH42,EC
10,0.0,INV-ZZ-6580254,NTNH35,EC
11,0.0,INV-ZZ-6580254,SDPG36,EC
12,0.0,INV-ZZ-6580254,TWGP91,FC
13,0.0,INV-ZZ-6580254,WXEX62,PC
14,0.0,INV-ZZ-6580254,XODF22,BC
15,0.0,INV-ZZ-6580254,YRNM53,BC
16,0.0,INV-ZZ-6580254,ZZAU78,FC
17,1.0,INV-ZZ-5954450,AICC84,EC
18,1.0,INV-ZZ-5954450,BMHR27,PC
19,1.0,INV-ZZ-5954450,DRON90,EC
20,1.0,INV-ZZ-5954450,FEMC10,EC
21,1.0,INV-ZZ-5954450,GXIZ46,FC
22,1.0,INV-ZZ-5954450,IHDE63,FC
23,1.0,INV-ZZ-5954450,IMNP88,PC
24,1.0,INV-ZZ-5954450,JCIV23,PC
25,1.0,INV-ZZ-5954450,JLFZ78,EC
26,1.0,INV-ZZ-5954450,KELK27,BC
27,1.0,INV-ZZ-5954450,LIXR98,PC
28,1.0,INV-ZZ-5954450,MUZQ61,BC
29,1.0,INV-ZZ-5954450,MXPC35,PC
30,1.0,INV-ZZ-5954450,RJKU16,BC
31,1.0,INV-ZZ-5954450,RLZB68,EC
32,1.0,INV-ZZ-5954450,SHXE32,EC
33,1.0,INV-ZZ-5954450,TBVJ40,BC
34,1.0,INV-ZZ-5954450,UCVD54,FC
35,1.0,INV-ZZ-5954450,UHJR27,PC
36,1.0,INV-ZZ-5954450,USXA30,PC
37,1.0,INV-ZZ-5954450,VGVJ32,EC
38,1.0,INV-ZZ-5954450,XDMV98,EC
39,1.0,INV-ZZ-5954450,YHQM26,BC
40,1.0,INV-ZZ-5954450,YYLO17,EC
41,2.0,INV-ZZ-3258972,IYEY28,FC
42,2.0,INV-ZZ-3258972,QXLA51,BC
43,2.0,INV-ZZ-3258972,WCYZ75,EC
44,2.0,INV-ZZ-5742444,IYEY28,FC
45,2.0,INV-ZZ-5742444,QXLA51,BC
46,2.0,INV-ZZ-5742444,WCYZ75,EC
47,5.0,INV-ZZ-2180405,PMLK52,BC
48,5.0,INV-ZZ-2180405,TIAP81,PC
49,5.0,INV-ZZ-2180405,UFIX88,EC
50,5.0,INV-ZZ-2180405,VGLR69,EC
51,5.0,INV-ZZ-2180405,WXIE33,PC
52,5.0,INV-ZZ-2180405,XFJO16,FC
53,5.0,INV-ZZ-4861936,PMLK52,BC
54,5.0,INV-ZZ-4861936,TIAP81,PC
55,5.0,INV-ZZ-4861936,UFIX88,EC
56,5.0,INV-ZZ-4861936,VGLR69,EC
57,5.0,INV-ZZ-4861936,WXIE33,PC
58,5.0,INV-ZZ-4861936,XFJO16,FC
59,5.0,INV-ZZ-6528112,PMLK52,FC
60,5.0,INV-ZZ-6528112,TIAP81,PC
61,5.0,INV-ZZ-6528112,UFIX88,EC
62,5.0,INV-ZZ-6528112,VGLR69,EC
63,5.0,INV-ZZ-6528112,WXIE33,PC
64,5.0,INV-ZZ-6528112,XFJO16,FC
65,7.0,INV-ZZ-4541543,BTJU72,BC
66,7.0,INV-ZZ-4541543,LUMG31,BC
67,7.0,INV-ZZ-5744475,BTJU72,BC
68,7.0,INV-ZZ-5744475,LUMG31,BC
69,9.0,INV-ZZ-5795696,BCPM13,PC
70,9.0,INV-ZZ-5795696,BUJE31,BC
71,9.0,INV-ZZ-5795696,CTOM37,BC
72,9.0,INV-ZZ-5795696,GZER89,PC
73,9.0,INV-ZZ-5795696,HUEB37,EC
74,9.0,INV-ZZ-5795696,UFUA76,EC
75,9.0,INV-ZZ-5795696,VLUA59,BC
76,9.0,INV-ZZ-6698312,BCPM13,EC
77,9.0,INV-ZZ-6698312,BUJE31,BC
78,9.0,INV-ZZ-6698312,CTOM37,BC
79,9.0,INV-ZZ-6698312,GZER89,PC
80,9.0,INV-ZZ-6698312,HUEB37,EC
81,9.0,INV-ZZ-6698312,UFUA76,EC
82,9.0,INV-ZZ-6698312,VLUA59,BC
83,9.0,INV-ZZ-6720023,BCPM13,PC
84,9.0,INV-ZZ-6720023,BUJE31,BC
85,9.0,INV-ZZ-6720023,CTOM37,BC
86,9.0,INV-ZZ-6720023,GZER89,PC
87,9.0,INV-ZZ-6720023,HUEB37,EC
88,9.0,INV-ZZ-6720023,UFUA76,EC
89,9.0,INV-ZZ-6720023,VLUA59,BC
90,10.0,INV-ZZ-6698312,TEZG61,EC
91,10.0,INV-ZZ-7112311,TEZG61,EC
