,Path,Flight ID,PNR ID,Class
0,0,INV-ZZ-4457881,ARVH27,PC
1,0,INV-ZZ-4457881,BPTU62,PC
2,0,INV-ZZ-4457881,BQPD66,FC
3,0,INV-ZZ-4457881,BYJS96,EC
4,0,INV-ZZ-4457881,CHTM26,PC
5,0,INV-ZZ-4457881,CTIY67,PC
6,0,INV-ZZ-4457881,DHMT29,PC
7,0,INV-ZZ-4457881,DIJQ93,BC
8,0,INV-ZZ-4457881,DINB38,PC
9,0,INV-ZZ-4457881,DQCF43,PC
10,0,INV-ZZ-4457881,DQXO20,BC
11,0,INV-ZZ-4457881,ENPK85,FC
12,0,INV-ZZ-4457881,FECF80,FC
13,0,INV-ZZ-4457881,FIKE67,BC
14,0,INV-ZZ-4457881,FKRF40,EC
15,0,INV-ZZ-4457881,FKXI84,PC
16,0,INV-ZZ-4457881,FPEF81,PC
17,0,INV-ZZ-4457881,GSZG52,EC
18,0,INV-ZZ-4457881,GXSH57,EC
19,0,INV-ZZ-4457881,HSLX42,PC
20,0,INV-ZZ-4457881,JHWU83,BC
21,0,INV-ZZ-4457881,LFQI42,BC
22,0,INV-ZZ-4457881,MSSZ69,PC
23,0,INV-ZZ-4457881,MWNX58,FC
24,0,INV-ZZ-4457881,NEBQ57,FC
25,0,INV-ZZ-4457881,NIPJ52,EC
26,0,INV-ZZ-4457881,NMFL66,EC
27,0,INV-ZZ-4457881,NTNB14,FC
28,0,INV-ZZ-4457881,PDWT72,BC
29,0,INV-ZZ-4457881,PGLQ57,BC
30,0,INV-ZZ-4457881,POJP87,EC
31,0,INV-ZZ-4457881,PXXN43,BC
32,0,INV-ZZ-4457881,QQMB12,EC
33,0,INV-ZZ-4457881,QUZE16,PC
34,0,INV-ZZ-4457881,REVW14,EC
35,0,INV-ZZ-4457881,RJFS88,BC
36,0,INV-ZZ-4457881,RNRI40,EC
37,0,INV-ZZ-4457881,RTHU90,BC
38,0,INV-ZZ-4457881,RYFW24,EC
39,0,INV-ZZ-4457881,RZYI15,BC
40,0,INV-ZZ-4457881,SRIG95,FC
41,0,INV-ZZ-4457881,TZVJ94,BC
42,0,INV-ZZ-4457881,UECB93,BC
43,0,INV-ZZ-4457881,UFYO51,BC
44,0,INV-ZZ-4457881,UPLL13,PC
45,0,INV-ZZ-4457881,VBLY48,FC
46,0,INV-ZZ-4457881,VRJW76,EC
47,0,INV-ZZ-4457881,WBJU78,EC
48,0,INV-ZZ-4457881,WXEX72,BC
49,0,INV-ZZ-4457881,XIHR66,FC
50,0,INV-ZZ-4457881,XMUL31,BC
51,0,INV-ZZ-4457881,XMVN54,FC
52,0,INV-ZZ-4457881,XNZX66,PC
53,0,INV-ZZ-4457881,XOTP83,FC
54,0,INV-ZZ-4457881,XUFH54,PC
55,0,INV-ZZ-4457881,YSKI95,EC
56,0,INV-ZZ-4457881,ZEKD64,EC
57,0,INV-ZZ-4457881,ZQQA42,BC
