,Path,Flight ID,PNR ID,Class
91,5,INV-ZZ-4625808,ABPD23,PC
92,5,INV-ZZ-4625808,CDOB27,BC
93,5,INV-ZZ-4625808,EREX76,PC
94,5,INV-ZZ-4625808,HZLV96,PC
95,5,INV-ZZ-4625808,JUIZ74,EC
96,5,INV-ZZ-4625808,LRWX65,BC
97,5,INV-ZZ-4625808,MGLL84,PC
98,5,INV-ZZ-4625808,NNSS92,PC
99,5,INV-ZZ-4625808,NSAY96,BC
100,5,INV-ZZ-4625808,ODBO25,EC
101,5,INV-ZZ-4625808,OHUF68,PC
102,5,INV-ZZ-4625808,SBOL71,EC
103,5,INV-ZZ-4625808,SINB98,PC
104,5,INV-ZZ-4625808,TTQR56,BC
105,5,INV-ZZ-4625808,UCBO91,EC
106,5,INV-ZZ-4625808,WJVB21,FC
107,5,INV-ZZ-4625808,WZPK23,PC
108,5,INV-ZZ-6400815,ABPD23,EC
109,5,INV-ZZ-6400815,CDOB27,BC
110,5,INV-ZZ-6400815,EREX76,FC
111,5,INV-ZZ-6400815,HZLV96,PC
112,5,INV-ZZ-6400815,JUIZ74,PC
113,5,INV-ZZ-6400815,LRWX65,FC
114,5,INV-ZZ-6400815,MGLL84,PC
115,5,INV-ZZ-6400815,NNSS92,FC
116,5,INV-ZZ-6400815,NSAY96,PC
117,5,INV-ZZ-6400815,ODBO25,PC
118,5,INV-ZZ-6400815,OHUF68,BC
119,5,INV-ZZ-6400815,SBOL71,EC
120,5,INV-ZZ-6400815,SINB98,BC
121,5,INV-ZZ-6400815,TTQR56,BC
122,5,INV-ZZ-6400815,UCBO91,EC
123,5,INV-ZZ-6400815,WJVB21,BC
124,5,INV-ZZ-6400815,WZPK23,BC
125,5,INV-ZZ-8181245,ABPD23,EC
126,5,INV-ZZ-8181245,CDOB27,FC
127,5,INV-ZZ-8181245,EREX76,BC
128,5,INV-ZZ-8181245,HZLV96,EC
129,5,INV-ZZ-8181245,JUIZ74,PC
130,5,INV-ZZ-8181245,LRWX65,BC
131,5,INV-ZZ-8181245,MGLL84,EC
132,5,INV-ZZ-8181245,NNSS92,BC
133,5,INV-ZZ-8181245,NSAY96,PC
134,5,INV-ZZ-8181245,ODBO25,EC
135,5,INV-ZZ-8181245,OHUF68,BC
136,5,INV-ZZ-8181245,SBOL71,PC
137,5,INV-ZZ-8181245,SINB98,BC
138,5,INV-ZZ-8181245,TTQR56,BC
139,5,INV-ZZ-8181245,UCBO91,EC
140,5,INV-ZZ-8181245,WJVB21,BC
141,5,INV-ZZ-8181245,WZPK23,PC
